producttype;code;baseProduct;ean;"""><img src=x onerror=alert(1)>";desc;summary;thumbnail;fullsize;media;style;size;swatchcodes;swatchcolors;price;surchargetype;surchargevalue
parent;94382;;;Strut Pant Women;Features:<br /><br />+ Fully Taped Seams<br />+ Pant-to-Jacket Interface<br />+ Mesh lined inner thigh vents<br />+ Boot gaiters<br />+ Adjustable waistband<br />+ Micro fleece lined interior fly and waistband<br />+ Key clip<br />+ Ticket ring belt loop </p><p>100% Polyester</p>;<p> Such an awesome piece you shouldn't miss out on! The Strut pant by Foursquare is the perfect companion for an amazing season in the snow.;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/94382_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/94382_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/94382_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/94382_1.jpg;;;;;80.96;;
parent;99154;;;Twain Pant Women;Features:<br /><br />+ V-Science Breathable Lining System<br />+ Critical Taped Seams<br />+ Modern Straight Fit<br />+ Zip TechÂ® Pant to Jacket Interface<br />+ Mesh Lined Zippered Vents<br />+ Stone Butt Patch<br />+ Triple Reinforced Rise<br />+ Adjustable Inner Waistband<br />+ Hand Warmer Pockets<br />+ V-Science Boot Gusset with Snap<br />+ Boot Gaitor with Lace Hook<br />+ Adjustable Removable Knee Pads<br />+ Stone Ticket Ring<br />+ Back Pockets </p><p>100% Polyester</p>;<p> Function meets style at the highest stage. The Volcom Twain pant is so cool, that you never want to take it off anymore.;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/99154_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/99154_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/99154_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/99154_1.jpg;;;;;97.16;;
parent;95482;;;Twc Honey Buns Pant Women;Shaun White. Maybe youâ€™ve heard of him. Heâ€™s a pretty good snowboarder, sure, but what you didnâ€™t know is that heâ€™s pretty good with womenâ€™s clothing, too. Wow, that sounds really awkward, but seriously, take a look at these pants. What more could you want? The fit is slim, the fabric looks cool and will keep you dry, and the venting is wonderful on warmer days. In short, these pants are perfect.<br /><br />Features:<br /><br />+ Taffeta Lining<br />+ Mesh-Lined Inner Thigh Vents<br />+ Fully Taped Seams<br />+ Includes Womenâ€™s The White Collection Pant Features Package:<br />+ DRYRIDE Fabrication with DWR Coating<br />+ Thigh Vents<br />+ Custom Hemable Cuffs<br />+ Fully Taped Seams<br />+ Microfleece-Lined Handwarmer Pockets<br />+ Jacket-to-Pant Interface<br />+ NEW Expandable Boot Gaiter<br />+ Microfleece Fly and Waistband<br />+ Reinforced Hems<br />+ Ticket O-Ring<br />+ Ghetto Slits<br />+ Leg Liftsâ„¢â€”Keep Your Cuffs Scuff-Free </p><p>100 % Polyester</p>;<p> Hypnotize them with your moves, mesmerize them with your assets.</p>;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/95482_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/95482_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/95482_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/95482_1.jpg;;;;;89.06;;
parent;95490;;;Lucky Pant Women;Gabi Viteri knows style when she sees it. Her choice for everything from pow laps to summer glacier sessions? The Lucky Pant. Designed for the rider who wants one pant for all conditions, it features a tech twill fabric, plenty of room for layering, and heat-releasing vents for hiking or spring riding.<br /><br />Features:<br /><br />+ Taffeta Lining<br />+ Mesh-Lined Inner Thigh Vents<br />+ Includes Womenâ€™s Burton Pant Features Package:<br />+ DRYRIDE Fabrication with DWR Coating<br />+ Thigh Vents<br />+ Fully Taped Seams<br />+ Zippered, Microfleece-Lined Handwarmer Pockets<br />+ Jacket-to-Pant Interface<br />+ NEW Expandable Boot Gaiter<br />+ Integrated Waist Adjustment<br />+ Microfleece Fly and Waistband<br />+ Reinforced Hems<br />+ Ticket O-Ring<br />+ Ghetto Slits<br />+ Leg Liftsâ„¢â€”Keep Your Cuffs Scuff-Free<br />+ * True Black and Bright White Also Available in Tall and Short Sizes [Remove For JPN] </p>;<p> First chair to last blastâ€”style necessity meets everyday versatility.</p>;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/95490_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/95490_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/95490_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/95490_1.jpg;;;;;105.26;;
parent;95430;;;Method Jacket Women;Whether riding rails at 2am or rallying around the resort, Gabi Viteri spends day and night in her gear. To help her move freely in falling temps, the Method Jacket is Trail Mapped with more 3Mâ„¢ Thinsulateâ„¢ Insulation around the core, less in the sleeves for a better balance of warmth and mobility. On-hill essentials include pockets for hands, sound, goggles, pass, and ATM, and quick-venting Pit Zipsâ„¢.<br /><br />Features:<br /><br />+ NEW Double Package Trail Mapping: Taffeta Lining with NEW Zonal 3Mâ„¢ Thinsulateâ„¢ Insulation [100G Body / 60G Sleeves]<br />+ Mesh-Lined Pit Zips<br />+ Critically Taped Seams<br />+ Fulltime Contourâ„¢ Hood<br />+ NEW Magic Stitch Removable Waist Gaiter with Jacket-to-Pant Interface<br />+ Includes Womenâ€™s Burton Jacket Features Package:<br />+ DRYRIDE Fabrication with DWR Coating<br />+ Microfleece-Lined Handwarmer Pockets<br />+ Pit Zipsâ„¢<br />+ Taped Seams<br />+ Microfleece Chin Saver<br />+ Hood Cinch<br />+ Adjustable Cuff Closures<br />+ Sound Pocket<br />+ Goggle Pocket<br />+ Flash Pass Pocketâ„¢<br />+ ATM Pocket<br />+ Glove Loops </p>;<p> Rest less, rip moreâ€”waterproof warmth to weather the storm.</p>;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/95430_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/95430_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/95430_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/95430_1.jpg;;;;;97.16;;
parent;95424;;;Dandridge Down Jacket Women;Some gestures are meant to be subtle. A wink. A nod. The bird. This jacket is for people who prefer lifeâ€™s subtleties. Fashion and warmth combined as one, the Dandridge blends the fireside feel of 550 down with the understated style of vintage flannel accents. Easy venting options let you wear it in mellow weather with just a light layer underneath. Inside youâ€™ll feel the soft kiss of satin and must-haves like pockets for pass, goggles, and music.<br /><br />Features:<br /><br />+ NEW Quad Package Trail Mapping: Satin and Taffeta Lining with Engineered 550 Fill Down Insulation and X-STATICÂ® â€“ The Silver FiberÂ® [40G Arm Pits]<br />+ Mesh-Lined Pit Zipsâ„¢<br />+ Fulltime Contourâ„¢ Hood<br />+ Removable LycraÂ® Wrist Gaiters<br />+ NEW Sound Pocket<br />+ Removable Waist Gaiter with Jacket-to-Pant Interface<br />+ Includes Womenâ€™s Burton Jacket Features Package:<br />+ DRYRIDE Fabrication with DWR Coating<br />+ Microfleece-Lined Handwarmer Pockets<br />+ Pit Zipsâ„¢<br />+ Taped Seams<br />+ Microfleece Chin Saver<br />+ Hood Cinch<br />+ Adjustable Cuff Closures<br />+ Sound Pocket<br />+ Goggle Pocket<br />+ Flash Pass Pocketâ„¢<br />+ ATM Pocket<br />+ Glove Loops </p>;<p> Vintage flannel sleeping bag experience without the smell of stale mothballs.</p>;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/95424_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/95424_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/95424_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/95424_1.jpg;;;;;113.36;;
parent;95441;;;Aster Jacket Women;Get the layered flannel look without the chilly side effects in the Aster Jacket. Flannel throughout takes the edge off the elements while a flannel droptail attached to the removable waist gaiter lets you choose between casual or classy. The NEW Boyfriend Fit adds the length your other jackets lack, and with the lightweight shell design, you can adapt to any weather by adding extra layers or opening the vents and wearing nothing but a t-shirt underneath.<br /><br />Features:<br /><br />+ Plaid Flannel Lining<br />+ Pit Zipsâ„¢<br />+ Fulltime Contourâ„¢ Hood<br />+ Removable Waist Gaiter with Jacket-to-Pant Interface and Flannel Drop Tail<br />+ Removable LycraÂ® Wrist Gaiters<br />+ Includes B by Burton Jacket Features Package:<br />+ DRYRIDE Fabrication with DWR Coating<br />+ Microfleece-Lined Handwarmer Pockets<br />+ Removable Waist Gaiter with Jacket-to-Pant Interface<br />+ Pit Zipsâ„¢<br />+ Taped Seams<br />+ NEW Sound Pocket<br />+ NEW Plush Collar<br />+ Microfleece Chin Saver<br />+ Articulated Sleeves<br />+ Adjustable Cuff Closure<br />+ Goggle Pocket<br />+ Flash Pass Pocketâ„¢<br />+ ATM Pocket<br />+ Glove Loops </p><p>100 % Polyester</p>;<p> For the style connoisseurâ€”burly meets girly in this flannel-lined shell.</p>;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/95441_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/95441_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/95441_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/95441_1.jpg;;;;;145.76;;
parent;103335;;;Kelly Jacket Women;Features:<br /><br />+ detachable snowskirt<br />+ goggle pocket<br />+ liftpass pocket<br />+ audio pocket<br />+ lycra finish at the sleeve<br />+ jacket-to-pant system </p><p>100% Polyester</p>;<p> The Kelly Jacket by WLD is a top cut jacket for all the girls out there, who love to spent their days outside. It will keep you warm because of the fleece lining and furthermore this jacket has all the features one needs.;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/103335_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/103335_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/103335_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/103335_1.jpg;;;;;80.96;;
parent;99146;;;Arc Jacket Women;Features:<br /><br />+ V-Science Breathable Lining System<br />+ Super Suede Chin Guard<br />+ Mesh Lined Zippered Vents<br />+ Adjustable Powder Skirt with Stash Pocket<br />+ Powder Skirt Jacket to Pant Interface<br />+ V-Science 2 Way Cuff System<br />+ Brushed Tricot Lined Handwarmer Pockets<br />+ Pocket Access Hem Cinch<br />+ Goggle Pocket<br />+ Noise Pocket<br />+ Stone Ticket Ring </p><p>100% Polyester</p>;<p> Rest less - rip more! The Arc jacket by Volcom allows you everything and gives you an amazing style!;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/99146_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/99146_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/99146_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/99146_1.jpg;;;;;105.26;;
parent;100744;;;Ace Straight Pant Women;Features:<br /><br />+ Standard fit<br />+ 40g insulation<br />+ Critically taped seams<br />+ Shant control<br />+ Leg ventings<br />+ Boot gaiter </p><p>100% Polyester</p>;<p> Chic and comfy! The Ace pant by DC comes with subtle cargo pockets and in a clean design. It is ready for anything you throw at her and the added 40g insulation will keep you warmer in colder climates.;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/100744_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/100744_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/100744_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/100744_1.jpg;;;;;89.06;;
parent;74825;;;The Sentry;Features:<br /><br />+ 3 hand Japanese quartz movement with day and date<br />+ stainless steel case with hardened mineral crystal<br />+ enamel fill triple gasket crown<br />+ Polyurethane band with patented locking looper and stainless steel buckle<br />+ 100 m waterproof </p>;<p> Guards you from boredom.;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/74825_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/74825_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/74825_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/74825_1.jpg;;;;;129.56;;
parent;95438;;;Theory Jacket Women;Remember Captain Planet? He combined the powers of earth, wind, water, and fire to take pollution down to zero. While our goals with the Theory Jacket were a little more modest, we took a classic bomber jacket and built it with materials that are 100% recycledâ€”all the way down to the zipper pulls. As comfortable as it is earth-friendly, it features fluffy insulation to take the edge off early mornings and venting options to keep your temperature in check.<br /><br />Features:<br /><br />+ NEW Quad Package Trail Mapping: Recycled Taffeta Lining with NEW Recycled 3Mâ„¢ Thinsulateâ„¢ Insulation [70G Throughout]<br />+ Mesh-Lined Pit Zipsâ„¢<br />+ Critically Taped Seams<br />+ Fulltime Contourâ„¢ Hood<br />+ NEW Sound Pocket<br />+ Removable Waist Gaiter with Jacket-to-Pant Interface<br />+ Includes Womenâ€™s Burton Pant Features Package:<br />+ DRYRIDE Fabrication with DWR Coating<br />+ Thigh Vents<br />+ Fully Taped Seams<br />+ Zippered, Microfleece-Lined Handwarmer Pockets<br />+ Jacket-to-Pant Interface<br />+ NEW Expandable Boot Gaiter<br />+ Integrated Waist Adjustment<br />+ Microfleece Fly and Waistband<br />+ Reinforced Hems<br />+ Ticket O-Ring<br />+ Ghetto Slits<br />+ Leg Liftsâ„¢â€”Keep Your Cuffs Scuff-Free </p>;<p> Retain heat. Sustain the future. Bomber style built with recycled materials.</p>;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/95438_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/95438_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/95438_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/95438_1.jpg;;;;;89.06;;
parent;43339;;;The Sentry;Features:<br /><br />+ 3 hand Japanese quartz movement with day and date<br />+ stainless steel case with hardened mineral crystal<br />+ enamel fill triple gasket crown<br />+ Polyurethane band with patented locking looper and stainless steel buckle<br />+ 100 m waterproof </p>;<p> Guards you from boredom.;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/43339_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/43339_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/43339_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/43339_1.jpg;;;;;137.66;;
parent;129704;;;The Lodown;Features:<br /><br />+ Movement: Custom digital with pre-programmed tide information for over 200 beaches until 2020, future tide, dual time, alarm, countdown timer, wave counter, chrono and light<br />+ Case: Custom 100 meter waterproof fiber reinforced polycarbonate with raised bezel and treated acrylic crystal<br />+ Band: Custom injected polyurethane with patented locking looper and stainless steel buckle. </p>;<p> The Nixon Lodown watch is the perfect surf guide.;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/129704_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/129704_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/129704_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/129704_1.jpg;;;;;105.26;;
parent;96502;;;Hawkeye Painted white;Features:<br /><br />+ Anon Spherical Lens Technologyâ„¢<br />+ Full Perimeter Channel Venting<br />+ Interchangeable Strap System<br />+ Articulating Flush Mount Hinge<br />+ Low Profile, Lightweight Frame<br />+ Dual Layer Face Foam<br />+ The Non Mirror Dark Smoke is a dark grey base lens tint that wonâ€™t distort colours on super bright glacier days<br />+ The Lens VLT's (VLT is the measurement of how much light the lens allows through to the eye): 6% </p>;<p> It is the perfect combination - low profile with a penthouse view. There is nothing blocking your vision, this is the Hawkeye goggle by Anon.;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/96502_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/96502_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/96502_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/96502_1.jpg;;;;;72.86;;
parent;129707;;;The Private;Features:<br /><br />+ Movement: 3 hand Japanese quartz.<br />+ Custom 100 meter waterproof stainless steel with hardened mineral crystal, raised bezel, and triple gasket enamel fill crown<br />+ 42mm diameter<br />+ Band: Custom PU backed canvas with easy slide case to band feature, stainless steel buckle and locking snap closure. 24mm </p>;<p> The Private by Nixon is plain but equipped with high-end engineering and materials.;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/129707_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/129707_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/129707_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/129707_1.jpg;;;;;137.66;;
parent;140501;;;Gary Polo SS Youth;;;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/140501_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/140501_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/140501_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/140501_1.jpg;;;;;30.74;;
parent;144862;;;Del Chaos Tee SS Youth;;<p> Great standart fit tee by DC with eyecatching logo print on the front: The Delivering Chaos shirt. Unbeatable. </p><p>100% cotton</p>;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/144862_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/144862_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/144862_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/144862_1.jpg;;;;;20.21;;
